"CUSTOMERID","PHONE","FIRSTNAME","LASTNAME","ADDRESS","ZIPCODE","CITYID","BALANCEDUE"
677,"2039286119","Beverly","Hunton","185 Poplar Ridge Road","06078",943,0.01
678,"6150540909","Doug","Grace","2951 Club Circle","37087",5009,-2172.12
679,"2011920955","Andrea","Edmunds","5118 Cherokee Road","07015",3469,-0.03
680,"6153625673","Tony","Lyons","3627 N. Main Street","37901",5903,0
681,"2018336976","Kent","Driver","6669 Woodland Drive","07102",3600,0
682,"6051259278","Robin","Stewart","6686 Glenview Drive","57701",4953,0
683,"3030089493","Clarence","Carter","7370 N. Main Street","80202",784,-0.03
684,"9015007036","Richard","Baker","5661 MacBeth Lane","38242",5028,0
685,"9198723820","Burt","Logan","752 Chestnut Street","27514",3237,0
686,"2106434259","Joseph","Love","3083 15th Street","78265",5286,0
687,"3075825268","Lee","Gilliam","7346 Harbor Drive","82070",5917,0.01
688,"4127106260","Joseph","Denton","1482 Ridge Top Road","15219",5899,0
689,"7152959150","Dewey","Sadler","2683 Breeder Road","54701",5912,0
690,"8018578351","Harriet","Hughes","3390 Castle Heights Road","84321",5363,0
691,"5021660778","Julian","Adkins","7295 Windsor Park Lane","40272",2146,0
692,"4082415845","Vivian","Craig","2339 Roberts Road","95035",513,-1893.25
693,"3123515466","Brian","Henson","5713 Green Street","60601",5866,0
694,"7160174055","Wallace","Reasoner","859 Park Street","14302",3991,0
695,"8100088525","Bernice","Mason","468 Logan Street","48502",2789,0
696,"7163438292","Nathan","Evans","1482 Airport Road","14240",3825,0
697,"6122915268","George","Groce","3092 Pace Street","55101",3011,0
698,"7013733869","Chester","Smith","6739 Main Street","58501",3319,0
699,"5013581008","Geneva","Fisher","7115 Hidden Point Drive","72701",120,0
700,"9132666100","Clinton","Mills","1161 Washington Street","66110",2041,-2386.27
701,"4063651057","Rosie","Stewart","6069 Mason Court","59715",3210,0
702,"6031760295","Stephen","Abrams","5280 Timber Trail","03060",3408,-2294.25
703,"6154680728","Cassy","Dean","2486 N. Main Street","37048",5902,0
704,"6152611769","Stephen","Page","3627 Castle Heights Road","37066",4991,0
705,"4108235333","Orson","Jones","7895 Small Street","21234",2540,0
706,"6156755833","Cindy","Haynes","7732 Indian Lake Road","37027",4966,0.01
707,"3045860184","Nancy","McCartney","6830 Sandy Valley Road","25550",5910,0
708,"9135767800","Connie","Montgomery","2128 Smallhouse Road","66110",2041,0.01
709,"7039150594","Herman","Fields","1820 Sunset Place","22101",5515,0
710,"6081212982","Jahala","Ford","7346 Union Road","53589",5792,0
711,"7139641876","Eric","Sharp","4397 Clearview Street","77013",5907,0
712,"3134646692","Cheryl","Owens","7916 Plum Springs Road","48233",2775,-2705
713,"6178909342","Malcolm","Harrison","8093 Buchanan Circle","02116",2116,0
714,"6067624242","Sean","Ralston","6370 Shakertown Road","41011",2097,-0.03
715,"6068508305","Floyd","Fugate","6439 Fairview Road","41074",2083,-0.03
716,"4081720945","Patrick","Dennison","5240 Timber Trail","95035",513,0
717,"9079994076","Horace","Farmer","1965 Glenview Drive","99701",5,0
718,"5058502113","Conrad","Henderson","7056 Sanders Ferry Road","87501",3763,0
719,"5024941970","Mindy","Sanders","6204 Evergreen Circle","40201",5878,0
720,"4129523059","Danielle","Elliott","5350 Audubon Drive","15219",5899,0
721,"6014927297","Doris","Wade","3685 Cottontail Circle","38655",3188,0
722,"6156349096","Stephanie","Farris","2652 Whisper Woods Road","38501",4977,0
723,"6121485371","Bruce","Clay","5942 Blue Lake Way","55101",3011,-2481.87
724,"9010535535","Craig","Coffey","1496 Carrington Road","38101",5018,0
725,"6156191504","Pearl","Simpson","6505 Deer Park Lane","37040",4970,0
726,"3073657690","Greg","Lack","4410 High Street","82071",5917,0
727,"9130601008","Nathan","Collins","7904 Dorcas Drive","66044",2043,-2295.85
728,"3087250873","Artie","Daniel","4928 Cemetery Road","68847",3345,0
729,"8026299197","Seth","Graham","3672 Weeping Willow Road","05201",5530,0
730,"3032910396","June","Madison","5579 Prince Street","80302",770,-0.03
731,"4094811382","Clinton","Driver","5340 Southern Drive","77414",5069,0
732,"7132191571","Heather","Lancaster","8896 Woodland Drive","77013",5907,0
733,"2137732877","Sandy","Harper","6439 Halltown Road","90052",5857,0
734,"5026649712","Peggy","McDougal","8409 Gerogetown Drive","42134",2099,0
735,"2026618992","Luther","Lee","500 Crosby Drive","20090",5927,0
736,"7157840131","Joyce","Lewis","6651 Sunnyhill Trace","54481",5791,-2518.02
737,"9193015042","Amy","Hansen","8054 Peterson Avenue","27611",3291,0
738,"2127348140","Leslie","Sims","6151 Tyler Court","10001",3988,-2359.62
739,"5208506339","Brenda","Ingram","4633 Clearview Street","85726",214,0
740,"5026709052","Pearl","Hopkins","441 Happy Hollow Road","42431",2116,-0.03
741,"2034638195","Karen","Lamb","1767 Broadway Avenue","06078",943,-0.03
742,"4057498180","Joan","Oliver","1053 Longview Drive","73069",4438,0
743,"6062985922","Jessica","Embry","1989 Homewood Blvd.","40422",2082,-0.03
744,"5071280835","Cassy","Hopkins","1518 Sherwood Lane","55901",3005,-3250.02
1,"(402) 228-2726","Lisa","Bronson","5731 Deerwood Drive","68501",3348,0
2,"(801) 837-3363","Mark","Strong","2903 Southern Hills Court","84601",5377,0
3,"(203) 363-6353","John","Greenburg","5734 Lakeside Avenue","06101",878,0
4,"(610) 373-2211","Tommy","Mathison","767 Edgewood Drive","19023",4602,0
5,"(908) 272-6342","Tommy","Smolens","7050 Fairview Road","07102",3600,0.01
6,"(307) 262-5232","Dutch","Tellerman","7406 Mountain View Drive","82070",5917,0
7,"(615) 833-6353","David","Moore","9905 Airport Road","37075",4999,0
8,"(817) 526-3293","Mary","Jones","1094 Meadowlake Drive","76101",5906,0
9,"(503) 926-3283","Bobby","Carbaugh","5042 High Street","97208",4515,0
10,"(406) 837-3632","Bill","DeMorgan","4769 Logan Street","59901",3216,0
11,"(404) 336-2028","Frank","Sonoma","5126 Roseville Road","30301",1368,0.01
12,"(304) 512-5123","Christine","Donegal","8678 Club Circle","24740",5833,0
13,"(617) 092-8373","Sazuri","Tamura","8655 Glenview Drive","01730",2273,0
14,"(913) 109-2634","Seth","Adamson","5543 Trail East Drive","66044",2043,0
15,"(401) 823-6382","Glenda","Tomlinson","6362 Liberty Street","02881",2881,0
16,"(615) 098-2726","Tommy","Ezzell","8211 Rebecca Drive","37202",5025,-0.06
17,"(313) 083-7363","James","Lawless","122 Smallhouse Road","48231",2775,0
18,"(310) 983-5325","Tabitha","Anderson","9812 Small Street","90801",483,0
19,"(409) 937-3673","Lance","Armstrong","4360 Skyline Drive","77414",5069,0
28,"(701) 509-2639","Dale","Johnson","6416 Robin Road","58102",3322,0
31,"5023119798","Paul","Stamps","649 Spring Street","40219",5879,-0.03
32,"8125354270","Alvie","Warden","7049 Homewood Blvd.","47401",5865,0
35,"4065915053","Nora","Hicks","2538 Jackson Avenue","59901",3216,0
37,"6027697412","Bart","Williams","8178 White Oak Court","85287",212,0
39,"(201) 139-6075","Ashley","Neely","8118 Dusty Lane","07015",3469,0
40,"4083197050","Grayson","Griffen","5772 Sterling Road","95035",513,-3377.5
42,"5024222294","Emma","Ball","7084 Rocky Mound Road","40229",2106,0
48,"5029814901","Luther","Garrison","5046 Hidden Point Drive","98501",5680,0
49,"4064952976","Cassy","Harris","2248 Pleasant Valley Drive","31601",5869,0
50,"(502) 238-7965","Shirley","Logan","4392 Ridge Top Road","40219",5879,0
51,"6066689270","Herman","Morrison","4631 Rebecca Drive","37066",4991,-0.03
53,"4067842353","Louis","North","6796 Hazel Path","21401",2633,0
55,"(502) 232-3737","Claudia","Ford","6507 Church Street","42101",5875,0
57,"9151924926","Michael","Hood","5173 Meadow Lane","17325",4640,0
60,"8127016579","Peggy","Baez","1421 Cottontail Circle","89125",212,-2338.45
64,"5025238299","Basil","Allbright","400 Iris Drive","60601",5866,0
66,"501237180","Marcy","Gibson","7797 Buchanan Circle","41042",2092,-2336.02
67,"7024734806","Anna","Henderson","4216 Stones Throw Road","89114",5894,0
68,"(715) 522-3801","Stella","Ervin","7006 Weeping Willow Road","27842",3256,-0.03
69,"8162342359","Harlen","Knight","2320 Chestnut Street","89125",212,0
72,"2013585164","Cassy","Proffitt","308 Cottontail Circle","08401",3429,0
75,"6061985332","Russell","Humphrey","1134 Breeder Road","27842",3256,0
76,"6056924438","Terry","Pitts","1403 Long Hollow Pike","59715",3210,0
77,"9151813731","Courtney","Reasoner","1051 Horseshoe Road","40701",2079,0
78,"5079036847","Bonita","Hathaway","7940 15th Street","10451",5896,0
79,"8178563889","Orson","Proctor","5494 Railroad Avenue","40403",2073,0
80,"8169849737","JoAnne","Proffitt","8422 Westland Street","64108",3083,-2327.5
81,"3133107109","Paul","Clay","4269 Skyline Drive","30720",1391,-0.03
83,"6064707715","Nancy","Long","4106 Breckinridge Street","41073",2072,0
84,"(606) 635-3835","Winston","Porter","1525 Highland Court","42071",2125,0
87,"(715) 557-4162","Elizabeth","Richmond","4436 Pleasant Ridge Road","77013",5907,0
89,"5029309475","Jessica","Gilliam","663 Stones Throw Road","41017",2095,0
91,"6108559980","Beth","McPherson","9732 Sterling Road","10011",3988,0
92,"6068861871","Clara","Hampton","6788 125th Avenue","40356",2128,0.01
93,"5028873272","Leonard","Wolfe","1583 Southern Drive","40118",2089,0
95,"2032648041","Phillip","McKinney","4021 Horse Park Lane","05753",5540,0
96,"6054386989","Toni","Lehman","4425 Robin Road","01720",2253,0
97,"6066553231","Harold","Price","1616 Evergreen Circle","40391",2151,0
101,"(606) 667-4532","Joan","Carter","5338 River Street","22110",5521,-0.03
103,"(817) 798-5783","John","Hoffman","9600 Pleasant Ridge Road","41071",2127,-0.03
104,"5153487236","Lana","Gamble","6142 Sanders Ferry Road","29928",4905,0
105,"6101403705","Scott","Embry","604 Cottontail Circle","49855",2839,0
106,"(401) 138-1430","Cora","York","6063 Cairo Road","84101",5383,0
107,"8039953271","Anissa","Jenkins","7853 West Street","10011",3988,0
108,"(502) 243-6025","Elvis","Carver","2888 Small Street","40219",5879,0
109,"5029869107","Jesus","Carrow","3554 Hot Springs Avenue","37087",5009,-0.03
111,"(216) 649-8552","Robin","Duncan","9025 Cherokee Road","44309",4130,-2365.14
112,"(817) 721-1327","Laura","Herndon","3721 Evergreen Circle","76307",5337,-2264.5
113,"7191203881","Dennis","Reid","3604 Elm Hill Circle","58501",3319,-2380.81
115,"3041472374","Dewey","Dixon","6130 Creekwood Avenue","25550",5910,-2380.81
117,"3179071433","Wayne","Givens","6052 Orchard Valley Drive","01101",2460,0
119,"2037663417","Daphne","Rice","8457 Horse Park Lane","60601",5866,0
120,"6064797627","John","Mann","5556 Lovers Lane","40383",2147,0
121,"4139069397","Carly","Wheeler","2648 Buchanan Circle","42701",2086,0.01
122,"6157426263","Donald","Dean","327 Summers Road","37172",5043,0
123,"5042077510","Morris","Spencer","9093 Stones Throw Road","70113",5864,0
124,"8101746550","Ishel","Hoffman","9843 Gerogetown Drive","41074",2083,0
126,"(812) 286-8651","Ada","Willis","8311 Woodland Drive","40422",2082,0
127,"5034594353","Kirby","Monroe","5016 Oxford Way","54901",5768,-2200
128,"5058752527","Jesse","Owens","4775 Brown Street","37167",5040,0
130,"2128274430","Archie","Hale","3319 Peterson Avenue","41139",2091,0
131,"(414) 148-8732","Donna","Key","1624 Happy Hollow Road","53916",5706,0
132,"4131784540","Harriet","Pitts","8046 Halltown Road","57701",4953,-2698.81
133,"(716) 659-2867","Cal","Harrison","5990 Riverside Avenue","99701",5,0
135,"8044462242","Vicky","Mansfield","4688 Clay Avenue","89125",212,0
136,"8028845452","Homer","Oberhausen","9733 Rocky Mound Road","40004",2071,0
137,"(816) 636-2291","Joyce","Cardwell","8172 Camino Circle","64108",3083,0
138,"5024033038","Tina","Sexton","6391 Creekwood Avenue","41074",2083,0
139,"6153327502","Bart","McDonald","5775 Clay Avenue","38242",5028,0
141,"(901) 102-7629","Geneva","Russell","5860 Greenfield Lane","27514",3237,0
143,"(202) 301-4873","Byron","Poole","8484 Brown Street","20090",5927,0
146,"8175215520","Leon","Vaughn","544 Pine Branch Trace","28204",1368,0
147,"9134191683","Janet","Collins","9715 Elm Hill Circle","15009",4555,0
148,"5087171305","Lucille","Wheeler","3444 Mud River Valley Road","57401",4946,0
150,"3075597137","Sharon","Hicks","3244 Hilltop Road","28204",1368,0
152,"7065102236","Jahala","Cummings","3318 Volunteer Drive","40330",2102,0
153,"(502) 258-8630","Janice","Craig","6978 Glenview Drive","63366",3109,0
155,"(615) 546-0550","Lillie","Hatcher","3643 Montgomery Drive","92109",5858,-0.03
156,"4106617804","Alvie","Nakamura","7797 Peterson Avenue","21237",2646,0
158,"6066518770","Carla","Garner","4430 High Street","40391",2151,0
163,"(502) 297-9781","Dewey","Locke","1025 Dusty Lane","40219",5879,0
164,"(615) 535-3749","Dwight","Grimes","4496 Green Acres Road","40324",2100,0.01
165,"(615) 535-8302","Clarence","Lee","5541 Deerwood Drive","29201",4887,-3199
167,"4148577689","John","Cole","6572 Tulip Drive","58501",3319,0
168,"7195582001","Joan","Madison","6258 Green Ridge Road","14302",3991,0
169,"3048725156","Gaylen","Riddle","8005 Lakeside Avenue","17325",4640,-2274.99
170,"3072642255","Janice","Mann","9887 Garden Street","50318",1548,-0.03
171,"7159296461","Dawn","Pendleton","7215 Sherwood Lane","38655",3188,0
176,"7197147521","Trina","Gilbert","1828 Deer Park Lane","40291",2090,-3448.75
178,"4103885185","Crystal","Howe","2066 Stillhouse Road","41017",2095,-2349.12
180,"6109756269","Susan","Adams","63 Orange Cemetery Road","15009",4555,0
181,"6067469038","Buck","Cole","92 Peterson Avenue","83201",1609,0
184,"4104761272","Dwight","Day","7355 Gerogetown Drive","63143",3096,0
192,"7026902896","Agnes","Donaldson","472 Whisper Woods Road","68847",3345,-2987.2
193,"2144209759","Shatika","Embry","9756 Cave Springs Road","75260",5121,0
194,"4102732432","Emmitt","Hansen","55 Dolhous Drive","89701",3774,0
195,"2123598137","Beverly","Sanders","8414 Hazel Path","54022",5783,-0.03
196,"7047183766","Carl","Hamilton","9638 Pleasant Ridge Road","56007",2918,0
197,"7065383775","Chelsea","Robertson","9640 Horse Park Lane","30304",1368,0
199,"(618) 843-8559","Bryce","Fuller","6600 Plank Road","54305",5730,0
200,"5029659070","Alfred","Lack","2503 Prince Street","42276",2138,-7334.87
204,"5023727422","Julie","Justice","8994 Longview Drive","84401",5371,0
205,"8041457864","Andy","Markham","4572 Tulip Drive","21701",2573,0
207,"(615) 526-6242","Gilbert","Parker","3183 Audubon Drive","03060",3408,-4156.44
209,"6082109407","Clarence","Groves","4084 Sanders Ferry Road","15009",4555,0
210,"4066824569","Avery","Sparks","2010 Flat Rock Road","59101",5892,0
212,"6069701636","Natasha","Queen","5219 Glenview Drive","40324",2100,0
217,"(304) 494-6779","Hershel","Vincent","1713 Evergreen Circle","05641",5529,0
218,"2127395292","Sarah","England","4056 Center Street","48067",5921,0
219,"5055386912","Jasper","Grace","1901 Elm Street","50318",1548,0
220,"8046018786","Wilma","Mitchell","8351 Westland Street","23660",5909,0
221,"4023966042","Leon","Hanes","3982 Rebecca Drive","42301",5880,0
223,"6035443304","Dean","Turner","7018 High Point Street","42701",2086,-2285.39
225,"8126557526","Angie","Holland","7622 Tyler Court","54305",5730,0
226,"6155962183","Hunter","Frost","1867 Glenview Drive","41031",2081,-2338.45
227,"7025142238","Roy","Peck","3861 Cottontail Circle","70601",2224,0
228,"(504) 436-7780","Glen","Greer","930 Castle Heights Road","70113",5864,-0.03
229,"9015704223","Lana","Renfrow","1663 35th Street","38101",5018,0
230,"4135475948","Hank","Garrett","7263 Gin Still Lane","23320",5423,0.01
232,"6066988847","Janet","Parker","1379 Gin Still Lane","60204",1701,0
234,"8108512270","Clyde","Lawson","7357 Peterson Avenue","48233",2775,0
235,"5017742318","Virginia","Hooper","6180 Meadow Lane","72701",120,0
237,"(907) 079-1452","Curtis","Harvey","963 Sequoia Lane","56301",3009,0
239,"6088668164","Terri","McDougal","4088 Industrial Drive","05753",5540,0
240,"8032423982","Ruby","Aldrich","6482 Locust Street","82071",5917,0.01
241,"5086896110","Beverly","Zeller","3185 Homewood Blvd.","26003",5839,0
242,"5022458360","Tracy","Lancaster","4940 Harbor Drive","40701",2079,0
243,"4099941892","Inez","Sadler","8586 Union Road","77550",5160,0
245,"(706) 651-2668","Debbie","Humphrey","9733 Carrington Road","59801",3223,0
247,"8101363493","Barbara","Tuck","4090 Longview Drive","78265",5286,-5907.23
249,"7045601570","April","Olson","8542 Rolling Acres Drive","54729",5714,0
250,"4101584042","Clive","Goad","1530 Brookview Drive","21234",2632,0
252,"8102422889","Brandy","Payne","8235 Plank Road","10011",3988,-2421.99
255,"2141357752","Allen","Sparks","5499 Green Ridge Road","98501",5680,0
259,"(413) 327-9521","Wayne","Hester","3584 Broadway Avenue","01002",2451,-5295.61
260,"4013928978","Adam","May","6540 MacBeth Lane","02904",2904,0
262,"(515) 578-9756","Nathan","Mansfield","3990 Cherry Street","41031",2081,0
263,"5029822323","Perry","Howell","9594 Windy Hill Road","80302",770,0
264,"7043523518","Ernest","Allbright","2157 Camino Circle","28202",5898,0
265,"6067128805","Raquel","Vincent","9411 Sherwood Lane","41101",2149,0.01
267,"3144606089","Bryce","Kirby","7414 Hidden Point Drive","41017",2095,-0.03
268,"6069287425","Elmer","Shepherd","1886 Smith Road","58501",3319,0
270,"9071912941","Janice","McPherson","9387 Berrywood Drive","99502",2,0
272,"4145006157","Nadine","Cole","2295 Ridge Top Road","43216",4178,0
273,"4015075141","Guy","Fostor","9183 Crosby Drive","48233",2775,0
275,"5058344180","Vern","Bell","1632 High Point Street","82071",5917,-0.03
278,"(702) 273-0994","Inga","Willis","1964 Poplar Ridge Road","40383",2147,0
279,"7027227463","Fred","Page","4056 Pleasant Ridge Road","54911",5911,0
280,"7069286811","Lloyd","Lawson","6576 Tyler Court","41074",2083,0
282,"(502) 226-1808","Malcolm","Mansfield","5001 Industrial Drive","42001",5881,0
283,"8178406565","Bart","Humphrey","341 Halltown Road","41101",2149,0
284,"9044562317","Rachel","Garrison","3739 Tulip Drive","40160",2136,0
285,"6089902247","Kent","Reasoner","7332 Peach Tree Lane","54601",5743,-2410
287,"5043715326","Laura","O'Connor","5454 Market Street","56007",2918,0
288,"2066689500","Glen","Shelton","8165 Broadway Avenue","89125",212,0
289,"3134082071","Carrie","Hinton","2833 Weeping Willow Road","48152",2835,0
290,"6156606626","Kevin","Daniel","2329 Jackson Avenue","80302",770,-2474.5
291,"5023731423","Gina","Stamps","142 Saddlebrook Way","42240",2107,0
293,"(615) 560-9794","Melinda","Baez","4512 Orchard Valley Drive","77013",5907,0
294,"6062815901","Jahala","Willis","1318 Garden Street","78265",5286,0
295,"6153838092","Diane","Eaton","5933 Summers Road","37072",4993,-0.03
296,"3045195273","Daisy","Gray","2725 84th Avenue","30720",1391,0
297,"6069988165","Bruce","Pitts","6164 Green Street","40218",2126,-0.03
298,"7025488975","Albert","Ralston","2873 Deer Park Lane","68106",5893,0
305,"6061332435","Clara","Warden","967 Robin Road","12207",3838,0
306,"5025557913","Troy","Baez","7922 Poplar Ridge Road","40351",2122,0
310,"(602) 224-5689","Betty","Hatfield","2363 Tyler Court","85287",212,0
312,"6155755427","Jerome","Runner","5918 Camino Circle","70601",2224,-2128
313,"(816) 160-4273","Patrick","Haley","3220 Woodvale Drive","64108",3083,0
314,"5041873278","Faye","Marlow","1265 Pleasant Ridge Road","41139",2091,0
315,"4143723719","Mildred","Kajka","9611 Horseshoe Road","53203",5757,0
316,"2033364257","Milt","Turner","3186 Troon Court","06078",943,-0.03
318,"(202) 392-2148","Evelyn","Hoffman","1430 Liberty Street","20090",5927,0
319,"3134729466","Ed","Montgomery","7865 Broadway Avenue","22313",5402,0
320,"5027042064","Terri","Johns","8378 Cairo Road","99210",5674,0
321,"(502) 286-4725","Brent","Stamps","1399 Windsor Park Lane","42276",2138,-0.03
322,"(414) 148-9692","Raquel","Douglas","9192 125th Avenue","53203",5757,-2243.6
323,"4105153383","Charlotte","Francis","9795 Skyline Drive","21237",2646,0
324,"9049507676","Lenny","Garrison","4471 Church Street","32601",5871,-0.03
326,"5155004070","Heather","Vance","5413 Windsor Park Lane","05753",5540,0
327,"4128285034","Courtney","Livingston","3180 Hot Springs Avenue","41071",2127,0
328,"3077946297","Tracy","Vincent","1467 Industrial Drive","56301",3009,-0.03
330,"5025476554","Adrian","Rainwaters","490 Main Street","42420",2104,-1781.5
332,"5029613102","Nancy","Baez","1403 Peterson Avenue","37087",5009,-1925.5
333,"5035977349","Carl","Neal","5020 Halltown Road","97208",4515,0
334,"(606) 618-6372","Gary","Morgan","9350 Blue Lake Way","42701",2086,-2204.27
337,"(502) 235-3932","Winston","Hill","1941 Dusty Lane","40258",5882,0
338,"8039903049","Rita","Madison","6450 Southern Drive","40229",2106,0
339,"2057987709","Leland","Samuels","6564 Deer Park Lane","41017",2095,-0.03
340,"(810) 019-0883","Annie","Kajka","8398 Sanders Ferry Road","83201",1609,0
341,"8179593317","Shermanda","Grissom","7130 Southern Drive","29201",4887,0
344,"4061279406","Phyllis","Fuller","4684 Orchard Valley Drive","59101",5892,0
345,"9077638060","John","Rice","3757 Carrington Road","99502",2,-1876.59
346,"2144853139","Hugh","Hudson","860 College Street","35203",24,0
347,"3141157009","Dewey","Cartwright","8852 Reservoir Drive","63155",5861,0
349,"5021431664","Marion","Mayes","3271 Brookview Drive","59715",3210,0
350,"6159113192","Beth","Fields","9742 Tulip Drive","40004",2071,0
352,"3044196788","Lloyd","Lawrence","8059 Elementary Drive","38242",5028,0
353,"9193311548","Laura","Franklin","8641 Virginia Street","88310",3733,-5683
357,"9155784515","Joseph","Akers","2728 Lakeside Avenue","79604",5048,0
359,"4145366589","Bert","Hansen","8776 Troon Court","53203",5757,0
360,"6187718778","Danielle","Hanes","3836 Plum Springs Road","54481",5791,0
364,"6171419787","Jody","Hagan","4243 Peach Tree Lane","84401",5371,0
367,"6158178316","Lester","Francis","2920 Austin Drive","41011",2097,0
368,"6023724707","Carmen","Hagan","6856 Gerogetown Drive","85026",197,-2729.79
370,"(310) 070-1342","Elaine","Yates","9572 Meadow Lane","40118",2089,0
372,"6152746077","Bonita","Hull","182 Buchanan Circle","37048",5902,0
374,"4105175372","Emmitt","McCain","2773 Industrial Drive","37830",5027,0
375,"5039639858","Clyde","Adkins","5649 125th Avenue","54701",5912,0
377,"5035154721","Cathy","Reynolds","4973 Harbor Drive","97208",4515,0
378,"6157646079","Byron","Stone","5374 Industrial Drive","37110",5017,-2190.02
379,"5027904871","Rita","Poole","1608 Flat Rock Road","40511",2112,-2032.75
380,"7044694423","Jesse","Mills","6284 Pace Street","40033",2111,0
381,"5026023672","Allen","Sexton","564 Small Street","88310",3733,-6117.73
382,"6064236963","Amos","Lawson","3787 Cardinal Lane","41073",2072,0
384,"6064055861","Nora","Roberts","9196 Cline Avenue","49855",2839,0
385,"(606) 627-7480","Andy","Lawrence","8537 Girkin Road","40361",2132,0
389,"3143953901","Daisy","Griffen","8389 Longview Drive","37087",5009,-2296
390,"3023625229","Alan","Weaver","3846 Poplar Ridge Road","01101",2460,0
391,"6067266193","Joyce","Wheeler","7377 Fairways Drive","40356",2128,0
392,"(615) 543-4905","Hoyt","Dye","3906 Airport Road","17325",4640,0
393,"5024383796","Helen","Petty","399 Union Road","44512",4397,0
395,"(606) 673-2341","Pierre","McCain","7807 Executive Park Drive","82071",5917,-0.03
396,"8172221953","Patricia","Davidson","1964 47th Street","40701",2079,-0.03
401,"5025453279","Tom","Rich","5913 Saddlebrook Way","27611",3291,-1897
403,"6052676091","Troy","Link","1456 Windy Hill Road","35804",54,0
404,"6026574799","Katy","Haley","1620 Orchard Valley Drive","85026",197,-1823.5
405,"9048354823","Clara","Davidson","8879 Mason Court","32601",5871,0
408,"6023182206","Whitney","Sanders","1665 Humble Avenue","85026",197,-2847.2
409,"(216) 672-2192","Diane","Hill","2928 Williamsburg Drive","88220",3741,0
411,"6061155744","Margaret","Wilson","9273 Girkin Road","41018",2088,0
412,"6069117025","Roberta","Gilbert","39 Locust Street","55440",2930,0
413,"3136061795","Preston","Kinser","7246 Johnson Drive","01720",2253,0
414,"6152713149","Anna","Poston","9942 15th Street","49855",2839,0
415,"5151505649","Chester","Froedge","9718 Westland Street","97401",4526,-2128.64
418,"(216) 688-6517","Hoyt","Moseley","9313 Park Street","10011",3988,0
419,"5044199980","Madison","Hester","9735 Market Street","53701",5914,0
420,"6064599291","Anthony","Powell","3510 High Street","40965",2119,0
