"SERIALNUMBER","CUSTOMERID","MODELTYPE","PAINTID","FRAMESIZE","ORDERDATE","STARTDATE","SHIPDATE","SHIPEMPLOYEE","FRAMEASSEMBLER","PAINTER","CONSTRUCTION","WATERBOTTLEBRAZEONS","CUSTOMNAME","LETTERSTYLEID","STOREID","EMPLOYEEID","TOPTUBE","CHAINSTAY","HEADTUBEANGLE","SEATTUBEANGLE","LISTPRICE","SALEPRICE","SALESTAX","SALESTATE","SHIPPRICE","FRAMEPRICE","COMPONENTLIST"
20,19,"Race",1,58,22-AUG-94,23-AUG-94,28-AUG-94,51512,89097,15293,"TIG Welded",4,"Lance Armstrong","Block",550,98766,57,41.2,73.7,73,3300.59,3106.44,194.15,"TX",120,1140.4,2625
44,381,"Road",9,54,17-APR-94,18-APR-94,24-APR-94,87295,37453,93736,"TIG Welded",4,"Allen Sexton","Flash",2,15293,55,41.5,73.5,73.5,1511.47,1415.09,70.75,"NM",70,410.55,1250
45,357,"Race",1,62,04-NOV-94,05-NOV-94,08-NOV-94,87295,51512,15293,"TIG Welded",4,"Joseph Akers","Roman",3859,76432,59,41.2,74,72.5,2646.71,2400,150,"TX",70,371.125,2625
46,454,"Race",2,54,10-JAN-94,11-JAN-94,14-JAN-94,87295,29387,15293,"TIG Welded",4,"Warren Fugate","Block",1,22343,54.5,41,73,74,2574.28,2413.15,156.85,"NV",70,381.92,2529
47,113,"Hybrid",4,17,25-OCT-94,27-OCT-94,02-NOV-94,15293,89097,89097,"Bonded",4,"Dennis Reid","Flash",2,0,55,43,70.5,74,1317.57,1214.95,60.75,"ND",70,412.44,1020
48,491,"Mountain",4,19.5,30-OCT-94,01-NOV-94,04-NOV-94,29387,29387,87295,"TIG Welded",4,"Stephen Mitchell","English",482,98766,59.3,42.3,71,73,2249.92,2075.47,124.53,"KY",70,995.32,1534
49,132,"Road",1,54,28-OCT-94,29-OCT-94,02-NOV-94,51512,87295,89097,"Bonded",4,"Harriet Pitts","Block",5847,22343,55,41.5,73.5,73.5,1790.14,1750,70,"SD",70,547.4,1441
50,489,"Track",12,60,13-MAR-94,15-MAR-94,23-MAR-94,15293,76432,15293,"TIG Welded",4,"Shatika McKinney","Block",3952,37453,56,41,76,76,3275.38,3200,192,"TN",70,1110.74,2625
51,207,"Hybrid",5,19,25-JUN-94,25-JUN-94,02-JUL-94,87295,37453,51512,"TIG Welded",4,"Gilbert Parker","Script",4588,51512,56,43,70.5,73,1204,1200,0,"NH",70,278.829,1020
52,37,"Mountain",4,19.5,10-NOV-94,12-NOV-94,16-NOV-94,51512,87295,89097,"Welded",4,"Bart Williams","Script",1,37453,59.3,42.3,71,73,1178.51,1150,57.5,"AZ",70,248.83,1020
53,297,"Mountain",7,22,26-AUG-94,27-AUG-94,29-AUG-94,15293,89097,87295,"Bonded",4,"Bruce Pitts","English",3053,83736,62.7,42.4,71,73,2017.68,2000,120,"KY",70,722.095,1534
54,378,"Road",7,52,24-OCT-94,26-OCT-94,01-NOV-94,51512,76432,15293,"Bonded",4,"Byron Stone","Script",5026,29387,53,41.5,73,73.5,2569.76,2500,150,"TN",70,531.6,2374
55,133,"Hybrid",11,23,12-JUN-94,13-JUN-94,15-JUN-94,51512,15293,51512,"TIG Welded",4,"Cal Harrison","Script",243,83736,58,43,71.5,73,1273.45,1250,0,"AK",70,360.528,1020
56,137,"Mountain",5,21,16-APR-94,18-APR-94,20-APR-94,87295,37453,87295,"Bonded",4,"Joyce Cardwell","Flash",5689,76432,59.8,42.4,71,73,1814.34,1800,76.05,"MO",70,482.866,1534
57,390,"Mountain",2,22,25-MAR-94,26-MAR-94,29-MAR-94,51512,29387,29387,"TIG Welded",4,"Alan Weaver","Flash",1774,83736,62.7,42.4,71,73,2296.67,2275,113.75,"MA",70,1050.32,1534
58,55,"Hybrid",8,23,12-OCT-94,13-OCT-94,18-OCT-94,87295,87295,51512,"TIG Welded",4,"Claudia Ford","Block",3108,37453,58,43,71.5,73,1273.45,1250,75,"KY",70,360.528,1020
59,68,"Tour",4,58,11-AUG-94,12-AUG-94,18-AUG-94,51512,76432,89097,"Bonded",4,"Stella Ervin","Flash",737,22343,56.6,41.5,73.5,73,1646.66,1640,98.4,"NC",70,569.6,1250
60,483,"Hybrid",4,23,09-JAN-94,10-JAN-94,12-JAN-94,87295,89097,12512,"TIG Welded",4,"Cecil Drake","Flash",2,46583,58,43,71.5,73,1490.84,1475,88.5,"KY",70,386.28,1250
61,327,"Tour",7,60,17-JUN-94,20-JUN-94,24-JUN-94,87295,87295,51512,"TIG Welded",4,"Courtney Livingston","Block",6214,87295,57.5,41.5,74,73,2264.78,2250,135,"KY",70,1105.8,1441
62,39,"Race",9,52,03-JAN-94,03-JAN-94,05-JAN-94,87295,89097,87295,"TIG Welded",4,"Ashley Neely","Roman",5862,29387,52.7,40.7,72.5,75,3236.33,3200,192,"NJ",70,1064.8,2625
63,505,"Hybrid",5,23,20-NOV-94,21-NOV-94,27-NOV-94,51512,89097,51512,"TIG Welded",4,"Debbie Edmunds","Script",2,46583,58,43,71.5,73,1240.62,1200,102,"NY",70,321.9,1020
64,247,"Road",7,47,19-DEC-94,19-DEC-94,23-DEC-94,15293,89097,89097,"Welded",4,"Barbara Tuck","Script",969,37453,51.7,41.5,72.5,73.5,1377.04,1375,85.94,"TX",70,252.4,1250
65,319,"Track",6,60,04-APR-94,05-APR-94,08-APR-94,29387,87295,87295,"Bonded",4,"Ed Montgomery","Block",1505,37453,56,41,76,76,2721.71,2700,121.5,"VA",70,555.37,2529
66,414,"Mountain",8,19.5,25-MAY-94,27-MAY-94,31-MAY-94,87295,76432,87295,"Bonded",4,"Anna Poston","Script",3447,51512,59.3,42.3,71,73,1774.03,1750,87.5,"MI",70,435.4525,1534
67,223,"Tour",9,56,07-MAR-94,09-MAR-94,11-MAR-94,15293,76432,29387,"TIG Welded",4,"Dean Turner","Roman",2391,98766,55.5,41.5,73,73,2604.61,2600,156,"KY",70,417.6,2529
68,158,"Race",11,52,12-JAN-94,14-JAN-94,19-JAN-94,87295,51512,15293,"TIG Welded",4,"Carla Garner","Flash",1,88873,52.7,40.7,72.5,75,2479.93,2475,148.5,"KY",70,425.92,2374
69,57,"Track",5,58,09-JUL-94,09-JUL-94,12-JUL-94,15293,29387,89097,"Bonded",4,"Michael Hood","Block",5803,0,55,40.7,75,77,3001.88,3000,0,"PA",70,788.975,2625
70,480,"Race",11,54,09-NOV-94,10-NOV-94,12-NOV-94,51512,15293,93736,"Bonded",4,"Sean Garrison","English",1325,63535,54.5,41,73,74,2918.24,2900,130.5,"VA",70,941.575,2374
71,368,"Race",12,58,24-MAY-94,26-MAY-94,01-JUN-94,15293,87295,89097,"Bonded",4,"Carmen Hagan","Script",5813,46583,57,41.2,73.7,73,2673.74,2650,132.5,"AZ",70,498.925,2529
72,430,"Race",12,54,12-FEB-94,14-FEB-94,20-FEB-94,87295,51512,15293,"TIG Welded",4,"Ruth Lawrence","Block",1447,37453,54.5,41,73,74,2679.07,2675,160.5,"KY",70,409.2,2625
73,273,"Mountain",2,18,28-FEB-94,01-MAR-94,05-MAR-94,29387,37453,29387,"TIG Welded",4,"Guy Fostor","Block",2,37453,59.2,42.3,71,73,1258.1,1250,62.5,"MI",70,342.468,1020
74,230,"Road",2,62,18-APR-94,20-APR-94,24-APR-94,51512,29387,12512,"TIG Welded",4,"Hank Garrett","Block",2544,98766,58.5,41.5,74,73.5,1453.89,1450,65.25,"VA",70,342.815,1250
75,122,"Track",10,54,08-JUN-94,09-JUN-94,11-JUN-94,87295,51512,87295,"Welded",4,"Donald Dean","Script",5066,29387,54,40.7,74,75,2349.95,2300,138,"TN",70,273,2374
76,232,"Race",6,58,18-FEB-94,21-FEB-94,23-FEB-94,89097,29387,87295,"TIG Welded",4,"Janet Parker","Block",5821,63535,57,41.2,73.7,73,2609.94,2600,162.5,"IL",70,327.865,2625
77,77,"Hybrid",4,15,30-JAN-94,31-JAN-94,06-FEB-94,87295,76432,51512,"TIG Welded",4,"Courtney Reasoner","Flash",5401,88873,54.5,43,70,74,1210.63,1200,72,"KY",70,286.625,1020
78,401,"Road",3,58,13-AUG-94,15-AUG-94,17-AUG-94,15293,89097,89097,"Bonded",4,"Tom Rich","English",2636,37453,57,41.5,73.5,73.5,1811.39,1800,108,"NC",70,572.4,1441
79,212,"Mountain",12,14.5,19-MAR-94,21-MAR-94,23-MAR-94,87295,51512,89097,"TIG Welded",4,"Natasha Queen","Roman",1447,93736,53.7,42.3,70.5,73.5,1709.67,1700,102,"KY",70,359.728,1534
80,296,"Mountain",12,14.5,25-DEC-94,26-DEC-94,01-JAN-95,89097,87295,89097,"Welded",4,"Daisy Gray","Script",2356,93736,53.7,42.3,70.5,73.5,1595.01,1550,62,"GA",70,224.83,1534
81,326,"Tour",7,60,11-MAR-94,14-MAR-94,16-MAR-94,87295,87295,87295,"TIG Welded",4,"Heather Vance","Roman",4807,93736,57.5,41.5,74,73,1446.95,1400,70,"VT",70,334.65,1250
82,152,"Mountain",7,18,22-SEP-94,24-SEP-94,30-SEP-94,89097,89097,29387,"Bonded",4,"Jahala Cummings","Flash",1447,15293,59.2,42.3,71,73,1382.85,1380,82.8,"KY",70,489.24,1020
83,468,"Track",12,60,18-AUG-94,20-AUG-94,27-AUG-94,51512,29387,29387,"TIG Welded",4,"Ruby Freeman","Block",1399,15293,56,41,76,76,3111.72,3100,186,"KY",70,1169.2,2374
84,314,"Race",2,60,31-JUL-94,01-AUG-94,08-AUG-94,29387,15293,89097,"TIG Welded",4,"Faye Marlow","Script",385,0,58,41.2,74,73,2640.86,2600,156,"KY",70,364.25,2625
85,279,"Race",6,60,24-MAY-94,25-MAY-94,01-JUN-94,29387,89097,89097,"TIG Welded",4,"Fred Page","Roman",528,29387,58,41.2,74,73,2702.78,2700,135,"WI",70,437.1,2625
86,225,"Mountain",12,19.5,13-JUL-94,14-JUL-94,20-JUL-94,87295,87295,12512,"TIG Welded",4,"Angie Holland","Script",4873,90975,59.3,42.3,71,73,1305.41,1300,65,"WI",70,398.128,1020
87,53,"Track",7,60,05-AUG-94,08-AUG-94,11-AUG-94,15293,51512,51512,"TIG Welded",4,"Louis North","Block",1001,34192,56,41,76,76,2703.93,2700,135,"MD",70,438.45,2625
88,497,"Hybrid",8,19,27-OCT-94,29-OCT-94,04-NOV-94,51512,51512,51512,"TIG Welded",4,"Lee Turner","Script",1,37453,56,43,70.5,73,1640.9,1600,100,"UT",70,278.829,1534
89,392,"Road",10,60,06-AUG-94,08-AUG-94,16-AUG-94,87295,87295,89097,"Bonded",4,"Hoyt Dye","Block",1,37453,57,41.5,73.5,73.5,2719.62,2700,0,"PA",70,552.9,2529
90,499,"Race",1,62,09-DEC-94,10-DEC-94,12-DEC-94,51512,89097,15293,"Bonded",4,"Ray Gilbert","Roman",6028,22343,59,41.2,74,72.5,3025.25,3000,150,"NE",70,816.475,2625
91,360,"Tour",4,56,06-JAN-94,07-JAN-94,12-JAN-94,51512,89097,12512,"TIG Welded",4,"Danielle Hanes","Script",3102,93736,55.5,41.5,73,73,3230.48,3200,160,"WI",70,1057.92,2625
92,126,"Road",3,57,15-AUG-94,16-AUG-94,18-AUG-94,15293,15293,15293,"Bonded",4,"Ada Willis","Roman",2219,46583,56,41.5,73.5,73.5,1744.77,1700,102,"KY",70,494.025,1441
93,306,"Mountain",3,21,15-SEP-94,16-SEP-94,24-SEP-94,29387,37453,89097,"TIG Welded",4,"Troy Baez","Script",1447,83736,59.8,42.4,71,73,1215.42,1200,72,"KY",70,292.261,1020
94,95,"Tour",6,56,08-NOV-94,08-NOV-94,15-NOV-94,51512,76432,12512,"TIG Welded",4,"Phillip McKinney","Block",5174,51512,55.5,41.5,73,73,1458.3,1450,72.5,"VT",70,348,1250
95,79,"Road",12,47,16-OCT-94,17-OCT-94,24-OCT-94,87295,29387,89097,"TIG Welded",4,"Orson Proctor","Script",2207,76432,51.7,41.5,72.5,73.5,1409.22,1400,84,"KY",70,290.26,1250
96,120,"Hybrid",5,23,17-NOV-94,18-NOV-94,20-NOV-94,89097,15293,12512,"TIG Welded",4,"John Mann","English",2392,89097,58,43,71.5,73,1512.73,1500,90,"KY",70,412.032,1250
97,165,"Hybrid",4,15,18-AUG-94,18-AUG-94,22-AUG-94,89097,29387,12512,"TIG Welded",4,"Clarence Lee","Flash",2054,90975,54.5,43,70,74,1259.36,1250,62.5,"SC",70,343.95,1020
